Word,Democrat Frequency,Republican Frequency
usfda,6,44
approves,4,8
pfizer,13,44
vaccine,186,445
amp,3106,3150
way,261,355
central,54,69
florida,78,77
tomorrow,148,146
st,122,103
healthcare,141,106
workers,520,349
vaccinated,10,14
plan,309,173
take,373,277
soon,98,101
essential,115,101
eligible,41,46
together,373,276
defeat,36,45
#covid,695,475
five,34,22
years,603,645
ago,232,185
united,179,267
states,289,380
committed,75,94
#actonclimate,27,0
joining,82,122
were,469,403
telling,24,12
world,283,292
#wearestillin,7,0
joebiden,214,25
president,562,571
rejoin,10,0
#parisagreement,28,0
create,120,113
jobs,187,326
future,218,189
protect,490,413
public,459,277
health,1261,526
reduce,48,49
pollution,27,6
met,40,58
#lgbtq,7,0
advisory,21,16
board,58,32
update,76,96
work,845,846
washington,118,157
here,493,579
meetings,8,6
community,423,451
leaders,161,192
remain,79,67
key,62,78
continue,517,588
fight,364,316
against,246,282
seek,21,21
input,5,10
preselect,19,2
bidens,62,58
#buildbackbetter,16,0
supreme,152,312
court,209,372
rejects,4,0
pres,47,27
trumps,196,57
plot,4,0
overturn,53,10
votes,62,86
millions,268,139
americans,838,788
history,183,140
condemn,26,24
nations,158,236
only,241,239
hope,213,189
turn,42,27
page,19,24
lead,153,131
out,625,562
crisis,380,108
one,627,537
knows,32,36
usda,21,94
better,238,227
than,607,537
tom,22,23
vilsack,6,0
facing,117,71
hunger,22,11
farmers,82,240
reeling,3,3
rural,99,263
communities,521,388
struggling,147,104
economic,311,280
fallout,10,3
covid,1038,956
hell,21,11
bring,164,157
experience,76,53
needed,95,87
deliver,92,120
immediate,65,25
relief,716,689
families,761,581
local,330,308
agriculture,21,73
food,233,155
insecurity,35,0
housing,90,42
education,123,139
mlfudge,3,0
longtime,9,6
champion,49,34
working,515,453
hud,7,2
secretary,116,72
look,295,267
forward,356,379
her,360,502
biden,324,231
address,175,124
affordable,295,36
issues,99,153
across,477,376
nation,363,556
america,274,438
suffering,47,26
because,237,233
pandemic,777,408
time,766,646
real,113,99
action,206,133
bill,591,755
cityofkissimmee,3,0
partnered,6,10
walgreens,2,0
provide,264,291
free,216,224
driveup,2,0
flu,71,18
shot,41,27
clinic,9,10
saturday,46,48
december,223,95
th,484,466
am,388,639
pm,282,194
kissimmee,6,0
crucial,43,60
part,243,169
prevent,115,111
during,563,475
#fl,35,66
applaud,25,68
morocco,4,18
becoming,31,32
country,668,555
recognize,78,124
israel,13,119
recent,50,75
months,137,174
another,221,252
major,59,82
milestone,26,16
road,28,46
peace,84,175
reminder,113,111
systemic,32,4
disparities,28,0
disproportionately,44,8
impacting,16,6
vulnerable,68,44
#humanrightsday,42,9
global,116,88
human,153,96
rights,272,151
forefront,7,14
recovery,101,198
end,261,184
oppression,12,3
stand,136,160
up,712,560
equality,81,22
home,288,285
abroad,24,16
uncertain,19,9
times,128,124
thing,80,51
count,86,58
reliable,57,40
care,812,410
coverage,190,44
available,160,104
until,227,122
#getcovered,180,2
happy,408,556
#hanukkah,46,20
jewish,28,38
wish,94,163
your,1631,963
loved,205,104
ones,167,98
safe,465,413
healthy,109,60
holiday,216,136
leaderhoyer,20,2
ffcongress,4,0
voices,41,25
dreams,10,6
aspirations,3,2
younger,6,0
thank,569,1010
repstephmurphy,14,8
leadership,300,311
t,49,68
housedemocrats,86,31
majority,52,51
supports,20,30
raise,49,75
troops,38,103
#fyndaa,9,29
housegop,7,230
absurd,3,9
trump,723,266
veto,21,8
would,352,427
block,29,64
patriots,3,27
fldaily,3,0
repdarrensoto,14,2
takes,53,40
over,507,438
chair,110,66
congratulations,257,346
next,322,259
whip,19,24
forum,22,12
welcomes,5,7
team,173,154
congress,559,666
rephaleystevens,2,0
repcolinallred,3,2
announce,51,94
childrens,12,9
hospital,19,35
lake,20,51
received,62,103
federal,466,405
grant,68,115
help,969,898
support,631,898
graduate,9,5
medical,105,140
funds,61,182
training,33,55
current,44,58
pediatric,4,3
doctors,38,41
physicians,6,8
#icymi,26,53
httpstcoahxgow,2,0
osceolacountyfl,7,0
allocated,4,9
m,67,100
#caresact,17,40
rapid,8,20
credential,3,0
programs,106,110
unemployed,40,15
underemployed,2,0
furloughed,2,0
combatting,6,14
effects,22,18
industry,63,159
certification,7,7
indemand,2,2
careers,16,9
flapol,3,0
housepassed,10,0
#ndaa,42,56
budget,39,38
includes,64,62
priorities,64,76
representatives,43,53
repcharliecrist,2,0
proud,462,569
homeland,13,16
give,148,168
boost,26,25
advance,60,71
police,42,203
reforms,25,32
voted,133,118
pass,390,223
which,295,377
two,145,177
amendments,7,13
technological,4,5
advances,8,11
congratulate,23,30
repraulruizmd,15,0
election,435,457
hispaniccaucus,70,0
repbarragan,4,0
repespaillat,14,2
upcoming,27,16
changes,27,31
#justice,2,0
meeting,79,121
before,255,236
year,596,516
critical,264,317
members,209,280
thanks,167,381
through,446,346
racism,33,0
crises,19,0
plagues,2,0
given,41,46
disproportionate,9,3
impacts,42,41
#environmentaljustice,16,0
legislation,249,468
needs,228,220
frontline,82,50
democratic,92,52
elected,77,98
congressional,144,172
caucus,70,62
democrats,91,561
group,51,77
reaching,19,8
o,21,22
honored,140,162
vice,87,23
chairs,13,3
emeritus,2,0
youth,39,28
engagement,7,6
engage,9,3
natl,23,22
town,144,43
hall,124,51
tour,15,58
federally,4,6
funded,7,19
box,56,15
program,145,365
feeding,7,5
need,1216,719
bipartisan,492,456
funding,231,279
serve,204,355
building,63,54
consensus,4,3
helping,135,126
broad,9,10
set,68,67
affecting,9,13
rallying,4,0
majorities,4,0
causes,7,7
raid,4,0
doh,4,0
whistleblower,8,15
disturbing,13,13
worthy,6,6
investigation,54,87
heroic,19,13
woman,54,42
spoke,64,97
floridas,18,19
rising,61,16
case,43,69
counts,17,5
transparency,29,80
law,244,420
aids,26,6
response,106,111
saves,13,4
lives,478,337
energycommerce,15,0
orange,15,6
county,223,255
households,20,12
experiencing,41,14
hardship,15,10
result,30,50
may,257,203
dollars,21,90
open,306,132
k,67,76
applicants,6,2
registration,33,20
see,311,357
if,764,496
youre,148,65
visit,275,176
fraudulent,5,13
dictator,3,3
maduro,6,11
un,38,11
coalition,23,5
fair,109,128
elections,87,133
venezuela,4,12
#venezuelatps,2,0
refugees,6,3
#venezuelalibre,2,0
marks,53,41
since,201,176
devastating,68,35
attack,74,106
#pearlharbor,42,43
never,183,224
forget,73,93
sacrifices,57,67
made,194,259
service,354,547
civilians,22,8
lost,327,189
freedom,66,218
fla,2,0
success,30,92
saving,15,24
b,36,85
loans,27,66
small,411,870
biz,24,45
ppp,17,145
restart,5,7
few,71,101
prosecuted,4,4
orlando,6,0
residents,126,71
pay,156,89
rent,57,12
assistance,165,156
citys,7,2
rental,13,0
more,1517,1525
information,192,146
go,257,162
felicidades,4,0
agbecerra,14,0
hes,68,59
nd,29,31
hispanic,32,7
nominated,17,29
cabinet,19,14
hhsgov,22,31
sec,33,22
increase,87,95
access,351,259
improve,75,128
among,52,63
color,70,6
victory,58,50
immigrant,34,2
#dreamandpromiseact,2,0
permanent,28,30
pathway,13,4
citizenship,18,7
#dreamers,16,0
already,131,69
make,745,428
american,658,1073
daca,42,4
#heretostay,12,0
unite,21,12
labor,48,50
organizations,22,37
discuss,149,250
#covidvaccine,8,3
worker,26,13
safety,148,151
unions,5,4
continuing,67,80
efforts,172,222
mind,24,22
voters,76,30
legalized,5,0
marijuana,61,53
adult,8,4
remove,26,20
criminal,47,31
prohibitions,5,0
cast,48,35
vote,455,439
#wewantmore,8,0
act,888,778
#endcannabisprohibition,12,0
backbone,27,37
ensures,24,26
treated,14,5
wages,22,12
stronger,35,39
benefits,170,84
workplaces,2,3
con,27,6
mi,14,10
represent,45,67
advocate,43,50
puerto,10,0
ricans,2,0
latinos,29,4
around,195,159
epa,61,23
established,23,14
preserve,29,45
environment,76,41
vital,78,99
agency,38,37
pledge,14,13
core,20,13
values,66,62
recommit,67,10
#solvingtheclimatecrisis,16,0
#epaat,20,0
floridians,31,11
dc,69,118
push,47,41
compromise,23,20
stimulus,105,47
package,166,115
businesses,386,839
holidays,66,30
#medicaid,8,0
ends,82,14
meet,88,86
least,45,21
ensure,388,363
receive,148,194
outofpocket,4,2
cost,55,46
#hapiact,2,0
save,158,103
great,450,1024
committee,141,305
week,336,462
discussed,18,71
joebidens,21,0
restore,93,89
#daca,24,0
expedite,4,8
pr,8,5
disaster,41,76
reform,61,80
stop,290,200
separating,3,0
arecibo,2,0
observatory,3,0
telescope,2,0
helped,95,102
view,23,20
far,95,80
away,122,71
worlds,18,25
identify,16,12
meteors,2,0
could,206,176
threaten,26,18
earth,17,14
inspire,22,9
generation,35,74
pursue,11,18
space,27,78
stem,19,14
nsf,6,4
ucf,6,0
rebuild,51,75
develop,22,54
mission,32,57
juliegargotta,3,0
hapi,2,0
adults,28,17
immunity,14,20
according,14,21
million,329,306
lowincome,17,12
individuals,46,82
covered,44,13
#florida,6,28
rosa,32,3
parks,46,34
simple,32,33
defiance,5,0
ignited,2,0
civil,57,39
movement,32,15
when,374,335
she,172,283
refused,41,33
bus,36,9
seat,48,22
white,133,65
passenger,9,3
remember,237,232
bravery,46,41
courage,60,50
many,431,469
others,120,107
#rosaparksday,3,0
too,197,117
urban,9,8
tribal,47,21
bearing,2,0
brunt,5,0
#climatecrisis,24,0
bidenharris,45,3
administration,296,160
ready,128,92
right,370,314
wrongs,7,0
most,269,276
impacted,62,74
#worldaidsday,54,11
weve,124,112
living,70,58
disease,62,58
#endthestigma,8,0
eradicate,7,6
hiv,13,2
lifetime,29,23
testing,166,100
curbing,3,0
w,159,233
he,450,421
heads,23,11
about,780,936
wonderful,40,55
opportunity,124,189
speak,58,66
students,194,237
damaging,6,9
#climatechange,17,0
combat,80,95
owe,37,40
clean,79,51
publicradiogirl,2,0
heres,58,59
star,19,35
manager,8,8
sarah,6,0
resident,11,7
mike,11,20
there,317,298
prepared,37,25
qualified,52,79
janetyellen,12,0
ustreasury,8,28
moment,78,36
treasury,32,20
alongside,40,40
presidentelect,260,6
invest,35,23
build,101,64
economy,265,389
house,610,784
passed,390,317
versions,3,0
#heroesact,63,0
urgentlyneeded,4,0
republicans,253,265
playing,29,43
politics,58,106
enact,14,11
updated,38,18
heroes,141,167
immediately,68,43
counting,25,30
fighting,245,180
soul,13,4
clear,137,126
strengthen,60,72
americas,68,242
commitment,109,152
justice,268,292
system,132,148
notice,6,12
apply,89,104
mortgage,21,5
due,107,94
hiked,2,0
xena,2,0
#pandemic,2,2
enjoy,32,68
outdoors,13,16
safely,61,93
environmental,76,30
treasures,6,4
#lwcf,2,0
shops,4,8
business,134,351
long,193,147
owner,16,16
know,324,297
continued,63,98
#smallbusinesssaturday,48,62
#coronavirus,16,79
put,226,203
danger,16,23
losing,39,19
homes,67,67
district,103,224
provided,27,48
thousands,97,98
emergency,163,122
center,97,86
first,398,478
late,44,15
dec,71,40
nursing,17,34
responders,59,101
teachers,61,48
seniors,76,40
conditions,87,24
prioritized,6,9
general,88,93
thanksgiving,204,214
anticipation,3,0
thanksgivings,3,0
come,203,182
dream,29,47
again,173,177
commit,33,18
ourselves,56,16
think,74,92
but,733,555
well,165,210
said,79,106
mr,40,55
#happythanksgiving,14,14
story,60,97
marketplace,31,6
commi,2,0
bpcbipartisan,2,5
pray,10,29
breaks,15,5
fever,3,3
coronavirus,190,212
also,152,176
salvationarmyus,2,0
salvationarmy,2,0
rep,79,101
soto,3,0
giving,72,53
turkeys,8,16
#thanksgiving,45,35
info,88,53
below,153,180
hosted,20,27
number,87,77
uf,4,0
interns,9,7
focuses,4,11
throughout,95,128
bye,2,0
rocket,3,12
spacex,6,21
nasa,15,46
tonight,132,154
protecting,113,104
river,26,32
everglades,2,7
reef,2,0
transition,139,19
family,439,462
yours,35,36
wishing,144,108
everyone,295,175
meaningful,33,36
honor,470,561
favorite,34,29
son,25,21
nfl,3,7
meal,18,9
science,101,58
making,137,146
comeback,3,32
joe,184,113
kamala,39,7
harris,57,14
always,177,265
listen,97,85
scientists,53,40
efficacy,6,6
decisions,32,33
deserve,131,190
consistent,5,9
guidance,30,21
present,24,51
mayor,44,31
certificate,2,3
recognition,27,43
invaluable,17,9
contributions,55,36
communitywe,2,0
seeing,41,62
beyond,47,61
wants,43,79
#vaccines,2,0
https,16,28
usgsa,10,3
green,28,25
lights,44,33
#bidentransition,5,0
begin,57,54
best,197,215
interest,25,18
security,245,267
democracy,265,82
alimayorkas,20,0
latino,67,10
dhsgov,31,6
ablinken,11,0
crisistested,6,0
leader,96,111
place,134,119
relationships,6,9
allies,31,37
keep,476,370
adversaries,8,18
check,143,98
renew,35,45
breakfast,6,5
lgbt,4,0
diversity,48,10
award,42,106
person,96,57
advocating,11,19
full,203,278
entire,64,85
individual,18,24
round,25,49
onetime,6,2
checks,58,30
starting,54,68
gsaemily,17,0
approve,12,24
failure,36,6
violates,4,4
hurts,8,8
creates,16,16
national,407,588
risk,108,67
#puertorico,2,0
statehood,2,8
senators,34,49
reps,9,12
promesa,2,0
write,15,6
chapter,11,20
