Word,Frequency
marks,1
years,6
since,1
devastating,1
attack,1
#pearlharbor,1
never,2
forget,2
sacrifices,1
made,2
service,5
members,2
civilians,1
lost,4
lives,4
fight,6
freedom,3
httpstcohyahdlz,1
fla,4
#paycheckprotectionprogram,1
major,3
success,1
saving,1
m,2
jobs,1
through,2
b,1
loans,1
small,5
biz,3
ppp,1
set,1
restart,1
bipartisan,3
#covid,16
relief,14
bill,4
few,2
defrauded,1
program,1
prosecuted,1
httpstcowypmkqat,1
orlando,1
residents,6
if,3
youre,2
struggling,2
pay,2
rent,1
because,2
may,3
eligible,1
assistance,5
citys,1
rental,2
programnnthese,1
your,8
federal,9
#caresact,6
dollars,5
work,12
community,8
more,9
information,2
go,2
httpstcoyealodqre,1
httpstcoawpmsdlun,1
felicidades,2
uagbecerrau,1
hes,1
nd,2
hispanic,2
nominated,1
joebiden,5
ucabinet,1
hhsgovu,1
sec,2
hell,1
help,11
defeat,2
increase,1
healthcare,3
access,4
americans,8
amp,53
improve,1
health,6
disparities,1
among,1
communities,9
color,2
httpstcogzgekgvmzv,1
victory,1
immigrant,2
congress,7
pass,3
#dreamandpromiseact,1
provide,4
permanent,1
pathway,1
citizenship,1
#dreamers,1
already,5
make,3
america,6
american,11
daca,1
#heretostay,1
httpstcomozoimuo,1
met,2
unite,1
here,1
local,5
labor,1
organizations,1
discuss,2
#covidvaccine,2
food,1
worker,1
safety,2
stand,2
unions,1
look,5
forward,4
continuing,1
efforts,2
#buildbackbetter,6
workers,6
mind,1
httpstcoiyzzlvevvm,1
florida,8
voters,1
legalized,1
medical,1
marijuana,2
states,1
adult,1
time,13
remove,1
criminal,2
prohibitions,1
against,1
cast,1
vote,2
#wewantmore,1
act,12
#endcannabisprohibition,1
httpstcopzobastfs,1
essential,2
backbone,1
nation,9
preselect,12
bidens,3
plan,7
ensures,1
working,2
families,9
treated,1
times,2
crisis,7
wages,1
stronger,1
benefits,1
fair,1
safe,6
workplaces,1
httpstcozqqqjvsgy,1
honored,4
serve,2
con,1
mi,1
familia,1
boricua,1
represent,1
advocate,1
issues,2
affecting,1
puerto,3
ricans,2
latinos,1
around,1
httpstcoqjycujcfc,1
ago,2
epa,1
established,1
protect,3
preserve,3
environment,2
human,1
next,2
vital,1
agency,1
pledge,1
#restoreepas,1
core,1
values,1
recommit,1
#solvingtheclimatecrisis,1
#epaat,1
httpstcovxehnvxiv,1
central,7
floridians,5
need,5
washington,1
dc,2
continue,6
push,1
compromise,1
stimulus,3
package,3
businesses,2
across,4
holidays,1
httpstcomsckuboqm,1
millions,4
#medicaid,4
ends,1
meet,3
least,1
ensure,4
receive,2
vaccine,4
outofpocket,1
cost,2
#hapiact,2
save,5
countrynhttpstcoaacyzouj,1
great,5
meeting,1
advisory,3
committee,2
week,1
discussed,1
joebidens,1
address,3
restore,3
#daca,2
#tps,1
expedite,2
pr,1
disaster,2
reform,4
#mmp,1
stop,3
separating,1
httpstcowpjchc,1
arecibo,1
observatory,1
telescope,1
helped,1
view,2
far,2
away,2
worlds,2
identify,2
meteors,2
could,2
threaten,2
earth,2
inspire,1
generation,1
pursue,1
space,1
stem,1
careers,1
unsfu,1
ucf,2
rebuild,1
develop,2
mission,3
httpstcovetydru,1
juliegargotta,3
hence,1
sotos,1
justintroduced,1
hapi,2
helping,1
adults,1
immunity,1
httpstcowhqszivlznnrepdarrensoto,1
according,1
flhospitalassn,1
million,3
lowincome,1
individuals,1
covered,1
#florida,1
nnit,1
rosa,1
parks,1
simple,1
defiance,1
ignited,1
civil,1
rights,1
movement,1
when,3
she,2
refused,1
give,1
up,1
her,3
bus,1
seat,1
white,3
passenger,1
nntoday,1
remember,2
bravery,1
courage,1
many,3
others,2
equality,3
#rosaparksday,1
httpstcokjzoqhunch,1
too,1
rural,1
urban,1
tribal,1
bearing,1
brunt,1
#climatecrisis,3
bidenharris,4
administration,3
ready,4
#environmentaljustice,1
right,2
wrongs,1
most,1
impacted,2
pollution,1
httpstcoajifbbgdb,1
httpstcoghkoovo,1
#worldaidsday,1
weve,1
living,1
disease,1
together,8
#endthestigma,1
support,2
care,1
eradicate,1
hiv,1
lifetime,1
testing,3
visit,1
httpstcoshkiuwwijh,1
httpstcozyhtfdgkz,1
curbing,1
chatted,1
w,1
repdarrensoto,7
before,3
he,3
heads,1
about,4
justproposed,1
nnthe,1
would,4
thank,7
mifamiliavota,1
wonderful,1
opportunity,2
speak,1
students,1
tchswolves,1
damaging,1
effects,1
#climatechange,1
combat,2
owe,1
youth,1
clean,2
#actonclimate,2
httpstcozvdtapay,1
publicradiogirl,2
heres,2
update,1
star,2
motel,1
marketplacespoke,1
manager,1
sarah,1
russo,1
resident,1
mike,1
beaver,1
osceolaco,1
there,4
one,5
prepared,3
qualified,2
than,5
janetyellen,1
lead,1
ustreasury,1
critical,2
moment,1
treasury,1
secretary,2
alongside,1
presidentelect,8
invest,2
build,1
economy,4
better,3
httpstconktssv,1
house,5
passed,2
two,1
versions,1
#heroesact,1
deliver,3
urgentlyneeded,1
republicans,3
playing,1
politics,1
enact,1
updated,1
heroes,4
immediately,2
counting,1
nhttpstcotjclypwh,1
fighting,1
soul,1
clear,3
police,1
legislation,1
strengthen,2
americas,2
commitment,1
justice,2
system,1
httpstcomqdvmewff,1
notice,3
housing,2
cityofkissimmee,1
apply,3
mortgage,1
unemployed,1
underemployed,1
due,1
communityhttpstcomsorzcouzg,1
httpstcoozecxtd,1
hiked,2
#shinglecreek,1
osceolacountyfl,5
xena,2
#pandemic,2
another,3
reminder,3
enjoy,2
outdoors,2
safely,2
environmental,3
treasures,2
#lwcf,2
httpstcoscbgeqdct,1
shops,1
#fl,1
open,1
business,2
long,1
owner,1
know,1
takes,1
continued,3
successnnso,1
#shopsmallxaand,1
#shopsafe,1
#smallbusinesssaturday,1
httpstcoomlzwlylv,1
#twinoaks,1
httpstcoxovcacdzcz,1
#coronavirus,5
put,1
danger,1
losing,1
homes,1
district,3
provided,1
thousands,1
emergency,2
uosceolacountyfl,1
rehousing,1
center,2
httpstcovxacejiags,1
first,4
out,2
late,1
dec,1
nursing,1
home,1
st,2
responders,1
teachers,1
seniors,1
conditions,1
prioritized,1
free,3
general,1
public,1
apr,1
#unitedwestand,2
httpstcobdrodgsse,1
thanksgiving,2
anticipation,1
thanksgivings,1
come,6
dream,1
again,2
commit,2
ourselves,3
only,2
think,1
but,3
well,3
said,3
mr,1
#happythanksgiving,1
httpstcobsciizgxjq,1
wmfeorlando,1
story,1
#starmotel,1
kissimmee,4
marketplace,1
commi,1
bpcbipartisan,1
pray,1
year,3
breaks,1
fever,2
coronavirus,2
also,2
hyperpartisanship,1
repdarr,1
salvationarmyus,1
salvationarmy,2
peggychoudhry,1
proud,2
rep,2
soto,2
giving,1
turkeys,1
pm,1
#thanksgiving,2
info,1
below,2
httpstcowozezsl,1
uffederal,1
hosted,1
number,1
