Word,Party Affiliation,Weight
volunteered,Democrat,-7.35
fights,Republican,11.05
unconstitutional,Republican,20.49
alternatives,Democrat,-5.89
sensanders,Democrat,-14.33
gut,Democrat,-10.68
decided,Republican,25.23
perfect,Republican,47.16
nowwe,Democrat,-3.16
dinner,Democrat,-17.2
forge,Democrat,-6.08
encounters,Republican,17.02
made,Republican,323.44
#bobcatfire,Republican,4.71
evidencebased,Republican,5.44
coloradans,Democrat,-17.15
fixed,Democrat,-5.3
citybrockton,Democrat,-3.16
allocation,Democrat,-5.98
surgeongeneral,Republican,10.55
justice,Republican,398.11
argued,Democrat,-3.25
december,Democrat,-223.57
senatedems,Democrat,-26.58
baking,Democrat,-4.52
injured,Republican,16.84
extinction,Democrat,-5.21
symbol,Republican,3.98
cnnpolitics,Democrat,-3.16
wednesdays,Democrat,-3.25
fleets,Democrat,-3.25
indifference,Democrat,-3.16
secelainechao,Republican,8.36
fault,Republican,18.84
ti,Democrat,-3.16
oneonone,Democrat,-3.16
enewsletters,Democrat,-3.25
ethanol,Republican,6.9
unique,Republican,36.08
ties,Republican,23.5
aviation,Republican,29.88
obvious,Democrat,-10.95
decarbonize,Democrat,-3.16
barrs,Republican,6.17
budget,Democrat,-56.18
httpstcodcfdlkebh,Democrat,-3.25
places,Republican,22.35
neuroscience,Democrat,-3.25
shouting,Democrat,-3.16
theft,Republican,11.91
todayi,Democrat,-3.16
replamalfa,Democrat,-3.25
advisers,Democrat,-3.16
fy,Republican,34.34
annually,Republican,4.71
semiannual,Republican,7.63
ducks,Democrat,-3.16
maker,Democrat,-3.16
estuary,Democrat,-3.25
bench,Republican,24.27
tuition,Republican,6.17
#gop,Democrat,-7.35
susan,Republican,14.79
coupled,Republican,4.71
nwdc,Democrat,-3.16
kihuen,Democrat,-3.16
cheat,Democrat,-5.3
wild,Democrat,-13.41
uschamber,Republican,7.53
edt,Republican,7.53
thanksgivingthey,Republican,4.71
outpace,Democrat,-3.25
hoursofservice,Democrat,-3.25
staters,Democrat,-12.73
lawsonphotocontestgmailcom,Democrat,-3.16
diligence,Democrat,-3.16
maintenance,Republican,12.01
yearsmake,Democrat,-3.25
bravest,Republican,3.98
davie,Democrat,-3.25
housegops,Republican,8.36
httpstco,Republican,21.67
ditch,Democrat,-3.16
resulted,Democrat,-8.03
cherokee,Democrat,-3.25
accompanying,Democrat,-3.84
texan,Republican,7.63
ylwd,Democrat,-3.16
ar,Republican,8.95
cluster,Democrat,-3.16
station,Democrat,-29.78
tornado,Republican,14.6
bayonne,Democrat,-3.16
bluff,Democrat,-3.25
consumer,Democrat,-22.26
while,Republican,394.83
laundry,Republican,4.71
ht,Democrat,-13.14
motor,Republican,3.98
scipio,Republican,5.44
detroitdistrict,Democrat,-3.25
privilege,Republican,59.1
launched,Republican,24.59
deter,Republican,8.26
surveillance,Republican,9.68
rationale,Democrat,-3.16
httpstcoumrpgqcnhv,Democrat,-3.25
huge,Republican,85.33
reform,Republican,101.88
presentation,Democrat,-6.67
#zoomingitin,Republican,3.98
contents,Republican,3.98
agripulse,Republican,3.98
squeal,Democrat,-3.25
spoken,Democrat,-13.64
bush,Democrat,-12.27
baselessly,Republican,4.71
httpstcoqjnhyuomz,Democrat,-3.25
sendemsclimate,Democrat,-9.31
aprenda,Democrat,-3.16
#texas,Republican,4.71
inscribese,Democrat,-3.16
benefit,Republican,58.01
director,Republican,77.66
michiganders,Democrat,-29.27
steel,Republican,12.55
maximum,Republican,7.53
farms,Republican,29.24
#goodtrouble,Democrat,-4.52
continued,Republican,117.06
#nvhealthlink,Democrat,-3.16
flames,Republican,6.8
rampant,Republican,6.9
retail,Democrat,-7.49
extent,Republican,13.19
dare,Democrat,-3.25
httpstcotuaselrhr,Democrat,-3.25
gmar,Republican,10.36
tolerates,Republican,3.98
dawson,Republican,4.71
brass,Democrat,-3.25
secbernhardt,Republican,18.57
mattis,Democrat,-6.67
singleday,Democrat,-3.84
banks,Republican,40.04
amd,Democrat,-3.84
attacked,Republican,26.28
recuse,Democrat,-3.84
catches,Democrat,-3.84
disagreement,Democrat,-3.25
decreased,Democrat,-4.62
repjayapals,Democrat,-3.16
medicine,Republican,15.97
wireless,Democrat,-3.16
reminds,Democrat,-16.51
